id;x;y;z
0;0,577350269;0,577350269;0,577350269
1;0,577350269;-0,577350269;-0,577350269
2;-0,577350269;0,577350269;-0,577350269
3;-0,577350269;-0,577350269;0,577350269
4;0,577350269;0,577350269;-0,577350269
5;0,577350269;-0,577350269;0,577350269
6;-0,577350269;0,577350269;0,577350269
7;-0,577350269;-0,577350269;-0,577350269
8;1;0;0
9;-1;0;0
10;0;1;0
11;0;-1;0
12;0;0;1
13;0;0;-1
14;0,934172359;0,35682209;0
15;0,934172359;-0,35682209;0
16;-0,934172359;0,35682209;0
17;-0,934172359;-0,35682209;0
18;0,35682209;0;0,934172359
19;-0,35682209;0;0,934172359
20;0,35682209;0;-0,934172359
21;-0,35682209;0;-0,934172359
22;0;0,934172359;0,35682209
23;0;-0,934172359;0,35682209
24;0;0,934172359;-0,35682209
25;0;-0,934172359;-0,35682209
26;0,850650808;0,525731112;0
27;0,850650808;-0,525731112;0
28;-0,850650808;-0,525731112;0
29;-0,850650808;0,525731112;0
30;0,525731112;0;0,850650808
31;-0,525731112;0;0,850650808
32;-0,525731112;0;-0,850650808
33;0,525731112;0;-0,850650808
34;0;0,850650808;0,525731112
35;0;0,850650808;-0,525731112
36;0;-0,850650808;-0,525731112
37;0;-0,850650808;0,525731112
